,phrase,label,sentiment,subjectivity,language,count
Moldau,Moldau,LOC,-0.10227272727272725,0.030303030303030304,de,33
Bonn,Bonn,LOC,0.09090909090909091,0.0,de,33
Bundesnetzagentur,Bundesnetzagentur,LOC,-0.056060606060606054,0.06818181818181818,de,33
Union,Union,LOC,0.0062500000000000056,0.028124999999999997,de,32
US-Regierung,US-Regierung,LOC,-0.06718750000000001,0.03125,de,32
Niedersachsen,Niedersachsen,LOC,-0.11875,0.109375,de,32
Privacy Center,Privacy Center,LOC,0.0,0.0,de,31
Australien,Australien,LOC,0.1096774193548387,0.0967741935483871,en,31
Kanada,Kanada,LOC,0.265,0.06666666666666667,de,30
Erde,Erde,LOC,0.08,0.0,de,30
Kiews,Kiews,LOC,-0.12666666666666665,0.0,de,30
Hessen,Hessen,LOC,0.13666666666666666,0.06666666666666667,de,30
Ägypten,Ägypten,LOC,-0.1517241379310345,0.1206896551724138,de,29
Dortmund,Dortmund,LOC,0.13793103448275862,0.034482758620689655,de,29
Mariupol,Mariupol,LOC,-0.030357142857142857,0.0,de,28
Nordsee,Nordsee,LOC,0.02321428571428571,0.07142857142857142,de,28
Selenskyj,Selenskyj,LOC,0.05,0.04642857142857143,de,28
Slowakei,Slowakei,LOC,0.049999999999999996,0.0,de,28
Asien,Asien,LOC,0.06428571428571428,0.0,de,28
Dnipro,Dnipro,LOC,0.10535714285714286,0.14285714285714285,de,28
Dänemark,Dänemark,LOC,0.3053571428571429,0.07142857142857142,de,28
NRW,NRW,LOC,0.06296296296296296,0.07407407407407407,de,27
Belgorod,Belgorod,LOC,0.037500000000000006,0.019230769230769232,de,26
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,LOC,0.072,0.2,de,25
Davos,Davos,LOC,0.14800000000000002,0.0,de,25
Luxemburg,Luxemburg,LOC,0.027999999999999997,0.04,de,25
Rom,Rom,LOC,0.07400000000000001,0.2,de,25
Finnland,Finnland,LOC,0.062400000000000004,0.03840000000000001,de,25
Niederlande,Niederlande,LOC,-0.006250000000000001,0.0,de,24
Tschechien,Tschechien,LOC,0.016666666666666663,0.0,de,24
Den Haag,Den Haag,LOC,-0.07604166666666667,0.041666666666666664,de,24
Saporischschja,Saporischschja,LOC,-0.09999999999999999,0.0,de,24
Afrika,Afrika,LOC,0.058695652173913045,0.1956521739130435,de,23
der Schweiz,der Schweiz,LOC,0.021739130434782608,0.021739130434782608,de,23
Ukraine-News,Ukraine-News,LOC,-0.14130434782608695,0.0,de,23
St. Petersburg,St. Petersburg,LOC,0.06956521739130435,0.0608695652173913,de,23
Ostukraine,Ostukraine,LOC,0.13478260869565215,0.043478260869565216,de,23
Tirol,Tirol,LOC,-0.12272727272727274,0.0,de,22
Bundesrepublik,Bundesrepublik,LOC,-0.040909090909090916,0.0,de,22
Kasachstan,Kasachstan,LOC,0.21428571428571427,0.0,de,21
Köln,Köln,LOC,0.019047619047619042,0.047619047619047616,de,21
Bundesverfassungsgericht,Bundesverfassungsgericht,LOC,-0.09523809523809523,0.047619047619047616,de,21
Europäer,Europäer,LOC,-0.11428571428571425,0.09523809523809523,de,21
G,G,LOC,0.13333333333333333,0.047619047619047616,de,21
Energiepreisbremsen,Energiepreisbremsen,LOC,0.1357142857142857,0.09523809523809523,de,21
Österreichs,Österreichs,LOC,-0.018333333333333333,0.05,de,20
Baden-Württemberg,Baden-Württemberg,LOC,-0.25,0.05,de,20
Alpen,Alpen,LOC,-0.17,0.05,de,20
Griechenland,Griechenland,LOC,0.08499999999999998,0.0,de,20
Sachsen,Sachsen,LOC,0.07368421052631578,0.05263157894736842,de,19
Sachsens,Sachsens,LOC,-0.07368421052631578,0.0,de,19
Rumänien,Rumänien,LOC,-0.023684210526315787,0.017543859649122806,de,19
Rheinland-Pfalz,Rheinland-Pfalz,LOC,0.16315789473684209,0.0,de,19
Briten,Briten,LOC,0.22807017543859653,0.05263157894736842,de,19
Argentinien,Argentinien,LOC,0.16315789473684209,0.21052631578947367,de,19
Singapur,Singapur,LOC,0.03684210526315789,0.10526315789473684,de,19
Donbass,Donbass,LOC,-0.10526315789473684,0.10526315789473684,de,19
Rehden,Rehden,LOC,-0.03333333333333334,0.05555555555555555,de,18
Emirat,Emirat,LOC,-0.024999999999999998,0.16666666666666666,de,18
Landtag,Landtag,LOC,0.05555555555555555,0.05555555555555555,de,18
Bremen,Bremen,LOC,-0.07222222222222223,0.0,de,18
Litauen,Litauen,LOC,0.01666666666666667,0.05555555555555555,de,18
Ulm,Ulm,LOC,-0.11666666666666664,0.0,de,18
Potsdam,Potsdam,LOC,0.12058823529411763,0.20588235294117646,de,17
Brasilien,Brasilien,LOC,0.30294117647058827,0.08823529411764706,de,17
Taiwan,Taiwan,LOC,0.049999999999999996,0.11764705882352941,de,17
Republik Moldau,Republik Moldau,LOC,0.1411764705882353,0.0,de,17
Corona,Corona,LOC,-0.029411764705882353,0.3235294117647059,de,17
