index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.zeit.de/2023/14/waermepumpe-kosten-wartezeiten-einbau-knappheit,https://www.zeit.de/2023/14/waermepumpe-kosten-wartezeiten-einbau-knappheit,0,www.zeit.de,"Wärmepumpe: ""Wir haben nicht genug Geräte""","Wärmepumpen sollen das Heizen klimaneutral machen. Die Firma von Dirk Jänichen baut sie ein. Ein Gespräch über Kosten, Wartezeiten und das Problem mit den Reihenhäusern",,2023-04-01T04:34:05Z,,"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content. Some of the information stored on your device, … [+732 chars]",,de,'Heizen'
https://www.focus.de/panorama/welt/normalisierung-schreitet-voran-erstmals-seit-beginn-des-ukrainekriegs-wird-heizen-und-tanken-billiger_id_189919901.html,https://www.focus.de/panorama/welt/normalisierung-schreitet-voran-erstmals-seit-beginn-des-ukrainekriegs-wird-heizen-und-tanken-billiger_id_189919901.html,0,www.focus.de,„Normalisierung schreitet voran“ - Erstmals seit Kriegsbeginn wird Heizen und Tanken wieder günstiger,Gute Nachrichten für Verbraucher: Das Leben wird wieder günstiger. Das Leben wird wieder günstiger. Erstmals seit Kriegsbeginn in der Ukraine liegen die Spritpreise im Monatsdurchschnitt wieder unter dem Vorjahreszeitraum. Auch Heizen ist günstiger geworden.,https://p6.focus.de/img/finanzen/news/id_189844020/heizkoerper-waermepumpe.jpg?im=Crop%3D%280%2C163%2C2048%2C1024%29%3BResize%3D%281200%2C627%29&hash=6a1490bc401bed36fc752f20ac1f419efb3e31cbf4fa5b77dd3fc3ac20216426,2023-04-01T10:54:03Z,,Nach teils drastischen Preisaufschlägen für Energie werden für die Haushalte leichte Entlastungen spürbar. Der März war seit Beginn des Ukraine-Krieges der erste Monat mit Spritpreisen unter den Wert… [+2690 chars],,de,'Heizen'
https://www.faz.net/aktuell/wirtschaft/rettet-wasserstoff-die-gasheizung-und-den-verbrenner-18791439.html,https://www.faz.net/aktuell/wirtschaft/rettet-wasserstoff-die-gasheizung-und-den-verbrenner-18791439.html,0,www.faz.net,Hoffnung für die Energiewende: Die Wette auf den Wasserstoff,Kann klimaschonender Wasserstoff die Gasheizung und den Verbrennungsmotor retten? Er hat jedenfalls einige Nachteile.,https://media0.faz.net/ppmedia/aktuell/357588412/1.8795086/facebook_teaser/wasserstofftankstelle-am.jpg,2023-04-02T11:19:35Z,,"Es geht um die beiden heißesten Eisen der Energiewende: Ab 2035 soll in Europa der Verkauf von Neuwagen mit Verbrennungsmotor verboten werden, was in Berlin und Brüssel zu einem wochenlangen politisc… [+3260 chars]",,de,'Gas'
