index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https://www.golem.de/news/kostenbremse-fuer-mieter-an-der-waermepumpe-kommt-auch-die-cdu-nicht-vorbei-2605-208224.html&referer=https://t.co/ebfc59cca2,https://www.golem.de/sonstiges/zustimmung/auswahl.html?from=https://www.golem.de/news/kostenbremse-fuer-mieter-an-der-waermepumpe-kommt-auch-die-cdu-nicht-vorbei-2605-208224.html&referer=https://t.co/ebfc59cca2,0,www.golem.de,Kostenbremse für Mieter: An der Wärmepumpe kommt auch die CDU nicht vorbei,"Zukünftig sollen die steigenden Kosten für Öl- und Gasheizung zwischen Mietern und Vermietern geteilt werden. Das Risiko explodierender Heizkosten wird damit verteilt. (Wärmepumpe, Umweltschutz)",,2026-05-01T10:20:02Z,,"Besuchen Sie Golem.de wie gewohnt mit Werbung und Tracking,
 indem Sie der Nutzung aller Cookies zustimmen.
 Details zum Tracking finden Sie im Privacy Center.
Skript wurde nicht geladen. Informat… [+607 chars]",,de,'Öl'
https://www.zeit.de/news/2026-05/01/weisses-haus-kongress-muss-iran-krieg-nicht-mehr-zustimmen,https://www.zeit.de/news/2026-05/01/weisses-haus-kongress-muss-iran-krieg-nicht-mehr-zustimmen,0,www.zeit.de,Iran-Krieg: Weißes Haus: Kongress muss Iran-Krieg nicht mehr zustimmen,Hier finden Sie Informationen zu dem Thema „Iran-Krieg“. Lesen Sie jetzt „Weißes Haus: Kongress muss Iran-Krieg nicht mehr zustimmen“.,https://img.zeit.de/news/2026-05/01/weisses-haus-kongress-muss-iran-krieg-nicht-mehr-zustimmen-image-group/wide__1300x731,2026-05-01T12:51:05Z,,Kurz vor Auslaufen einer wichtigen Frist für die Legitimierung des US-Militäreinsatzes gegen den Iran legt das Weiße Haus Kreisen zufolge die Offensive neu aus. «Im Sinne der War Powers Resolution si… [+4497 chars],,de,'Krieg'
https://www.zeit.de/wirtschaft/2026-04/druschba-pipeline-oel-lieferstopp-pck-raffinerie,https://www.zeit.de/wirtschaft/2026-04/druschba-pipeline-oel-lieferstopp-pck-raffinerie,0,www.zeit.de,Lieferstopp von kasachischem Öl: Was bedeutet der Druschba-Öl-Lieferstopp für Deutschland?,Russland stoppt die Öllieferung durch die Druschba-Pipeline von Kasachstan nach Deutschland. Welche Auswirkungen hat das? Und wird Sprit in Berlin bald richtig teuer?,https://img.zeit.de/wirtschaft/unternehmen/2026-04/kasachstan-oel-schwedt-russland-transit-gestoppt-gxe-bild/wide__1300x731,2026-05-01T17:09:00Z,,Russland will ab dem 1. Mai kein kasachisches Öl mehr über die Pipeline Druschba nach Deutschland durchlassen. Die Regierung in Moskau beruft sich dabei auf technische Schwierigkeiten. Warum kann Rus… [+6748 chars],,de,'Öl'
https://www.tagesspiegel.de/internationales/nach-russland-gebracht-ermittlungen-in-peru-gegen-mutmassliche-rekrutierer-fur-putins-armee-15548167.html,https://www.tagesspiegel.de/internationales/nach-russland-gebracht-ermittlungen-in-peru-gegen-mutmassliche-rekrutierer-fur-putins-armee-15548167.html,0,www.tagesspiegel.de,„Nach Russland gebracht“: Ermittlungen in Peru gegen mutmaßliche Rekrutierer für Putins Armee,"Immer wieder gibt es Meldungen über angeworbene Ausländer, die für Russland gegen die Ukraine kämpfen. In Peru wird jetzt wegen des Verdachts auf Menschenhandel ermittelt.",https://www.tagesspiegel.de/images/15548184/alternates/BASE_16_9_W1400/1777709994000/probe-der-parade-zum-tag-des-sieges.jpeg,2026-05-02T08:20:59Z,,"In Peru ermittelt die Justiz gegen mutmaßliche Rekrutierer von peruanischen Staatsbürgern für den russischen Militäreinsatz in der Ukraine. Die Peruaner, darunter ehemalige Militärangehörige und Poli… [+1720 chars]",,de,'Krieg'
https://www.n-tv.de/wirtschaft/US-Fluglinie-stellt-Betrieb-ein-id30777878.html,https://www.n-tv.de/wirtschaft/US-Fluglinie-stellt-Betrieb-ein-id30777878.html,0,www.n-tv.de,Iran-Krieg treibt Kerosinpreise: US-Fluglinie stellt Betrieb ein,Die US-Billigfluggesellschaft Spirit Airlines macht dicht: Alle Flüge sind gestrichen und der Kundenservice nicht länger verfügbar. Drastisch gestiegene Kerosinpreise durch den Iran-Krieg zwingen das bereits zuvor insolvente Unternehmen in die Knie.,https://www.n-tv.de/img/30777950/1777714812/Img_16_9/1200/SONDERKONDITIONEN-MINDESTHONORAR-EXCLUSIVE-Tucson-AZ-Scores-of-Spirit-Airlines-jets-are-pictured-at-a-remote-airfield-north-of-Tucson-AZ-as-the-airline-battles-to-survive-the-current-surge-in-fuel-costs-triggered-by-the-war-in-Iran.jpg,2026-05-02T09:31:25Z,,"Abgestellte Flugzeuge der US-Billigairline Spirit. Über eine Rettung gab es nach Angaben des Unternehmens keine Einigkeit. (Foto: action press)
Die US-Billigfluggesellschaft Spirit Airlines macht di… [+3243 chars]",,de,'Krieg'
https://www.zeit.de/2026/19/us-israel-iran-krieg-strasse-von-hormus-hunger,https://www.zeit.de/2026/19/us-israel-iran-krieg-strasse-von-hormus-hunger,0,www.zeit.de,US-israelischer Krieg gegen den Iran: Die ganze Welt im Würgegriff,Der amerikanisch-israelische Krieg gegen den Iran wirkt sich global aus. Die meisten Folgen sind bitter. Aber es gibt auch Überraschungen.,https://img.zeit.de/wirtschaft/2026-04/us-israel-iran-krieg-strasse-von-hormus-hunger-bild-2/wide__1300x731,2026-05-02T09:54:53Z,,Kollateralschäden so nennt man die unbeabsichtigten oder unbedachten Folgen eines Krieges. Der Angriff der USA und Israels auf den Iran hinterlässt sie auf der ganzen Welt. Er verstärkt den Hunger in… [+683 chars],,de,'Krieg'
https://www.telepolis.de/article/Kapitalismus-und-Krieg-Warum-Frieden-systemfremd-wirkt-11277866.html,https://www.telepolis.de/article/Kapitalismus-und-Krieg-Warum-Frieden-systemfremd-wirkt-11277866.html,0,www.telepolis.de,Kapitalismus und Krieg: Warum Frieden systemfremd wirkt,"Zwischen Wachstumszwang, Profitinteressen und autoritären Tendenzen – eine kritische Perspektive auf Ukraine-Krieg und globale Aufrüstung",https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/5/0/7/4/2/9/3/panzer-01-c7c73cac7a02a9ca.jpg,2026-05-02T10:00:00Z,,"Zwischen Wachstumszwang, Profitinteressen und autoritären Tendenzen eine kritische Perspektive auf Ukraine-Krieg und globale Aufrüstung
Marx/ Engels lehrten uns, dass der Kapitalismus ein System ist… [+15060 chars]",,de,'Krieg'
https://www.stern.de/news/teurer-sprit-wegen-iran-kriegs--us-billig-airline-spirit-stellt-flugbetrieb-ein-37362300.html,https://www.stern.de/news/teurer-sprit-wegen-iran-kriegs--us-billig-airline-spirit-stellt-flugbetrieb-ein-37362300.html,0,www.stern.de,Teurer Sprit wegen Iran-Kriegs: US-Billig-Airline Spirit stellt Flugbetrieb ein,"Angesichts der durch den Iran-Krieg deutlich gestiegenen Treibstoffpreise stellt die US-Billigfluggesellschaft Spirit Airlines ihren Betrieb ein. Wie der Mutterkonzern Spirit Aviation Holdings am Samstag mitteilte, wurden alle Spirit-Airlines-Flüge gestrichen…",https://image.stern.de/37362302/t/3w/v1/w1440/r1.7778/-/02--die-usairline-spirit-fliegt-nicht-mehr---346ec742fa728cc3.jpg,2026-05-02T11:02:35Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Angesichts der durch den Iran-Krieg deutlich gestiegenen Treibstoffpreise stellt die US-Billigfluggesellschaft Spirit Airlines ihren Betrieb ein.… [+1560 chars]",,de,'Krieg'
https://www.faz.net/aktuell/finanzen/japan-stuetzt-offenbar-seine-waehrung-accg-200788151.html,https://www.faz.net/aktuell/finanzen/japan-stuetzt-offenbar-seine-waehrung-accg-200788151.html,0,www.faz.net,Energiekrise schwächt den Yen: Japan stützt offenbar seine Währung,Die hohen Energiepreise werden durch den schwachen Yen noch verteuert. Nun hat die Regierung in Tokio offenbar durch Devisenverkäufe interveniert.,https://media0.faz.net/image/w1200h627/c01458b4f810/w4986h2605x0y641o/202605/43601.0.2036011390/ein-devisenhaendler-bei-der.webp,2026-05-02T11:37:49Z,,"Die japanische Regierung hat offenbar versucht, die zuletzt immer schwächere Währung zu stützen. Gemeinsam mit der Bank von Japan habe sie am Donnerstag durch den Kauf von Yen und den Verkauf von Dol… [+4245 chars]",,de,'Inflation'
https://www.zeit.de/news/2026-05/03/trump-kuendigt-ueberpruefung-eines-iran-plans-an,https://www.zeit.de/news/2026-05/03/trump-kuendigt-ueberpruefung-eines-iran-plans-an,0,www.zeit.de,Iran-Krieg: Trump kündigt Überprüfung eines Iran-Plans an,Hier finden Sie Informationen zu dem Thema „Iran-Krieg“. Lesen Sie jetzt „Trump kündigt Überprüfung eines Iran-Plans an“.,https://img.zeit.de/news/2026-05/03/trump-kuendigt-ueberpruefung-eines-iran-plans-an-image-group/wide__1300x731,2026-05-02T23:21:33Z,,"US-Präsident Donald Trump kündigt an, einen vom Iran übermittelten Plan für ein Ende des Kriegs prüfen zu wollen. Allerdings könne er sich nicht vorstellen, dass dieser Plan akzeptabel sein werde, sc… [+1773 chars]",,de,'Krieg'
